time,RSUExampleScenario.node[1466].veinsmobility.speed
27219,5.5
27219.5,6.75
27220,8
27220.5,8.12081
27221,6.86552
27221.5,6.86552
27222,5.94228
27222.5,5.28229
27223,5.28229
27223.5,5.78229
27224,5.7951
27224.5,4.50895
27225,4.50895
27225.5,4.0138
27226,2.97612
27226.5,2.3288
27227,2.3288
27227.5,2.8288
27228,2.72762
27228.5,3.05925
27229,3.79527
27229.5,4.66747
27230,4.74984
27230.5,4.84648
27231,2.59648
27231.5,2.59648
27232,3.09648
27232.5,3.58136
27233,3.94862
27233.5,4.05695
27234,2.02838
27234.5,2.02838
27235,2.26802
27235.5,2.74794
27236,3.49945
27236.5,4.38268
27237,4.82294
27237.5,5.53298
27238,6.38583
27238.5,7.37262
27239,8.23307
27239.5,8.8263
27240,8.84377
27240.5,8.18484
27241,8.18484
27241.5,7.83533
27242,6.48583
27242.5,4.23583
27243,4.23583
27243.5,2.11734
27244,2.11734
27244.5,2.20376
27245,2.28453
27245.5,2.36717
27246,2.49244
27246.5,2.61413
27247,2.73013
27247.5,2.8436
27248,2.95383
27248.5,3.0595
27249,3.12678
27249.5,3.12444
27250,3.11313
27250.5,3.05152
27251,2.86441
27251.5,3.1773
27252,3.99019
27252.5,5.24019
27253,4.27448
27253.5,3.78647
27254,3.43322
27254.5,3.17687
27255,2.98841
27255.5,2.87887
27256,2.92374
27256.5,3.26891
27257,3.77762
27257.5,4.40392
27258,5.08517
27258.5,5.957
27259,6.76792
27259.5,7.79838
27260,8.75867
27260.5,9.22545
27261,10.1875
27261.5,9.93748
27262,9.68748
27262.5,8.43748
27263,6.18748
27263.5,3.93748
27264,1.91706
27264.5,0
27265,0
27265.5,0
27266,0
27266.5,0
27267,0
27267.5,0
27268,0
27268.5,0.277233
27269,0
27269.5,0
27270,0.109435
27270.5,0.52202
27271,1.28879
27271.5,2.29717
27272,3.42636
27272.5,4.61596
27273,5.83576
27273.5,4.03766
27274,2.11069
27274.5,2.11069
27275,0
27275.5,0
27276,0
27276.5,0
27277,0
27277.5,0
27278,0
27278.5,0
27279,0.5
27279.5,1.5
27280,2.75
27280.5,4
27281,5.25
27281.5,6.5
27282,6.97854
27282.5,7.44219
27283,7.80421
27283.5,8.30421
27284,9.30421
27284.5,9.64041
27285,9.78444
27285.5,9.92552
27286,10.0609
27286.5,10.1878
27287,10.3046
27287.5,10.4121
27288,10.512
27288.5,10.6051
27289,10.6868
27289.5,10.7596
27290,10.8261
27290.5,10.8889
27291,10.9508
27291.5,11.5128
27292,11.6329
27292.5,12.253
27293,12.3876
27293.5,12.5207
27294,12.6471
27294.5,12.7713
27295,12.8917
27295.5,13.0169
27296,13.1005
27296.5,10.8505
27297,10.8505
27297.5,9.60039
27298,9.60039
27298.5,9.17343
27299,9.10292
27299.5,8.89587
27300,9.18881
27300.5,9.71469
27301,10.5628
27301.5,10.9468
27302,11.0528
27302.5,8.80282
27303,6.55282
27303.5,6.55282
27304,7.05282
27304.5,8.05282
27305,9.30282
27305.5,10.5437
27306,11.5902
27306.5,12.4972
27307,13.274
27307.5,13.7295
27308,13.8635
27308.5,13.996
27309,14.0547
27309.5,11.8047
27310,11.8047
27310.5,9.55474
27311,9.55474
27311.5,7.30474
27312,5.05474
27312.5,5.05474
27313,4.66907
27313.5,4.35941
27314,4.45149
27314.5,4.53576
27315,4.6161
27315.5,4.68872
27316,4.74831
27316.5,4.78775
27317,4.80017
27317.5,4.78106
27318,4.76129
27318.5,4.78781
27319,4.75635
27319.5,4.6192
27320,4.88454
27320.5,5.55078
27321,6.22689
27321.5,6.83529
27322,6.95403
27322.5,6.99315
27323,4.74315
27323.5,4.74315
27324,5.24315
27324.5,5.86222
27325,6.47731
27325.5,7.40986
27326,8.50058
27326.5,9.10796
27327,9.47638
27327.5,9.83869
27328,10.1973
27328.5,10.9338
27329,11.8831
27329.5,12.701
27330,13.3391
27330.5,14.4771
27331,15.7271
27331.5,13.4771
27332,11
27332.5,11
27333,11
27333.5,11
27334,11
27334.5,11
27335,11.5
27335.5,12.5
27336,12.6416
27336.5,13.2833
27337,14.4249
27337.5,15.6749
27338,15.5188
27338.5,15.4407
27339,15.3006
27339.5,15.0275
27340,14.5955
27340.5,13.9721
27341,13.1267
27341.5,12.0252
27342,10.8693
27342.5,9.3563
