Module,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_maxSpeed,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_minSpeed,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_startTime,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_stopTime,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalDistance,/veins-4.4/examples/pveins_providencia/results/PER1.0_100Demand/nodebug-0.sca_nodebug-0-20170523-10:37:30-9104_totalTime
RSUExampleScenario.node[5].veinsmobility,15.65,6.9,27001.5,27023,75.7298,278.925,21
RSUExampleScenario.node[22].veinsmobility,16.25,6.9,27004,27025,80.8999,275.17,20.5
RSUExampleScenario.node[34].veinsmobility,16.4033,6.9,27006.5,27027.5,84.0331,282.761,20.5
RSUExampleScenario.node[36].veinsmobility,19.4,6.75,27006.5,27029.5,91.2293,324.458,22.5
RSUExampleScenario.node[17].veinsmobility,15.0959,0,27002.5,27038.5,104.863,292.726,35.5
RSUExampleScenario.node[119].veinsmobility,19.4,6.02642,27019,27044,87.8806,334.504,24.5
RSUExampleScenario.node[165].veinsmobility,15.65,6.9,27025.5,27047,74.9921,277.447,21
RSUExampleScenario.node[186].veinsmobility,15.65,6.9,27028.5,27050,73.1451,279.999,21
RSUExampleScenario.node[125].veinsmobility,22.5,6.9,27020.5,27050.5,148.595,492.051,29.5
RSUExampleScenario.node[18].veinsmobility,19.2778,6.9,27003,27050.5,183.524,776.155,47
RSUExampleScenario.node[21].veinsmobility,18.8958,6.9,27003.5,27051.5,174.443,770.295,47.5
RSUExampleScenario.node[23].veinsmobility,19.25,6.9,27004,27052.5,180.904,788.326,48
RSUExampleScenario.node[1].veinsmobility,16.25,6.9,27000.5,27053,192.119,692.991,52
RSUExampleScenario.node[15].veinsmobility,17.5,6.9,27002.5,27053.5,197.747,693.725,50.5
RSUExampleScenario.node[39].veinsmobility,19.25,6.9,27007,27054,172.764,765.264,46.5
RSUExampleScenario.node[48].veinsmobility,19.2321,6.9,27008.5,27056,177.538,775.003,47
RSUExampleScenario.node[58].veinsmobility,18.75,5.7,27011.5,27057,150.17,676.903,45
RSUExampleScenario.node[218].veinsmobility,19.8542,5.9,27033,27058,100.482,337.463,24.5
RSUExampleScenario.node[134].veinsmobility,15.5,5.5,27021.5,27060.5,113.995,494.241,38.5
RSUExampleScenario.node[80].veinsmobility,20.0867,6.9,27014.5,27060.5,186.73,765.217,45.5
RSUExampleScenario.node[90].veinsmobility,18.8109,6.9,27015.5,27063.5,173.261,768.056,47.5
RSUExampleScenario.node[103].veinsmobility,19.25,6.9,27017,27064,178.231,772.912,46.5
RSUExampleScenario.node[205].veinsmobility,16.25,5.5,27031.5,27065.5,120.545,453.668,33.5
RSUExampleScenario.node[64].veinsmobility,16.25,7.1,27012,27067,173.669,761.505,54.5
RSUExampleScenario.node[130].veinsmobility,18.2915,6.9,27021,27069,172.483,769.526,47.5
RSUExampleScenario.node[157].veinsmobility,18.5517,6.9,27024,27070,175.114,750.344,45.5
RSUExampleScenario.node[97].veinsmobility,15.65,6.9,27016.5,27072,154.778,751.604,55
RSUExampleScenario.node[149].veinsmobility,18.6553,5.61746,27023,27072,178.859,782.075,48.5
RSUExampleScenario.node[13].veinsmobility,16.25,0,27002.5,27073,188.334,491.692,70
RSUExampleScenario.node[168].veinsmobility,19.25,7.1,27025.5,27073,181.254,778.258,47
RSUExampleScenario.node[70].veinsmobility,15.4906,3.5,27012.5,27073.5,182.374,842.417,60.5
RSUExampleScenario.node[57].veinsmobility,16.6927,5.5,27010.5,27073.5,199.197,879.372,62.5
RSUExampleScenario.node[411].veinsmobility,10.5021,6.66953,27061,27074,29.7888,108.385,12.5
RSUExampleScenario.node[37].veinsmobility,18.45,0,27006.5,27074.5,265.107,914.901,67.5
RSUExampleScenario.node[86].veinsmobility,16.25,0,27015.5,27075.5,162.427,485.946,59.5
RSUExampleScenario.node[85].veinsmobility,16.25,7.1,27015,27077,187.611,870.108,61.5
RSUExampleScenario.node[75].veinsmobility,15.93,4.97647,27013.5,27078,208.574,881.36,64
RSUExampleScenario.node[78].veinsmobility,15.7353,0,27014.5,27078.5,168.961,492.277,63.5
RSUExampleScenario.node[215].veinsmobility,19.9143,6.9,27032.5,27078.5,189.882,770.787,45.5
RSUExampleScenario.node[115].veinsmobility,14.7593,5.54904,27018.5,27080,163.717,774.365,61
RSUExampleScenario.node[151].veinsmobility,15.65,0,27023.5,27080.5,146.671,493.738,56.5
RSUExampleScenario.node[105].veinsmobility,15.1138,5.5,27017,27081.5,186.934,890.992,64
RSUExampleScenario.node[238].veinsmobility,16.5982,3.60858,27036,27082,139.252,491.012,45.5
RSUExampleScenario.node[108].veinsmobility,15.569,4.58424,27017.5,27084,208.393,885.93,66
RSUExampleScenario.node[101].veinsmobility,15.7778,5.41161,27017,27084,187.765,876.551,66.5
RSUExampleScenario.node[407].veinsmobility,20.65,6.3693,27060.5,27085,98.4329,336.86,24
RSUExampleScenario.node[12].veinsmobility,18.1204,0,27002,27086,243.262,857.104,83.5
RSUExampleScenario.node[113].veinsmobility,19.25,1.7041,27018,27086.5,222.968,777.404,68
RSUExampleScenario.node[8].veinsmobility,16.25,0,27002,27087,208.955,659.902,84.5
RSUExampleScenario.node[83].veinsmobility,15.0988,0,27015,27087.5,188.984,625.027,72
RSUExampleScenario.node[281].veinsmobility,15.6845,4.99093,27042,27087.5,124.815,487.011,45
RSUExampleScenario.node[173].veinsmobility,15.3904,3.7,27026,27087.5,183.194,839.242,61
RSUExampleScenario.node[127].veinsmobility,18.8222,1.70496,27020.5,27088,223.778,855.449,67
RSUExampleScenario.node[87].veinsmobility,16.6391,0,27015.5,27088.5,183.836,602.895,72.5
RSUExampleScenario.node[53].veinsmobility,16.2035,0,27010,27089,191.477,640.546,78.5
RSUExampleScenario.node[76].veinsmobility,16.25,0,27014,27089,197.578,665.765,74.5
RSUExampleScenario.node[219].veinsmobility,19.25,3.5,27033,27089,194.529,772.752,55.5
RSUExampleScenario.node[177].veinsmobility,18.45,3.5,27026.5,27090,209.742,901.118,63
RSUExampleScenario.node[16].veinsmobility,19.1421,0,27002.5,27090.5,254.575,867.898,87.5
RSUExampleScenario.node[123].veinsmobility,15.85,0,27020.5,27090.5,182.674,651.139,69.5
RSUExampleScenario.node[191].veinsmobility,19.4089,3.99054,27029,27090.5,211.149,863.857,61
RSUExampleScenario.node[170].veinsmobility,16.25,0,27025.5,27090.5,211.674,882.681,64.5
RSUExampleScenario.node[128].veinsmobility,15.4383,0,27021,27091,177.178,669.96,69.5
RSUExampleScenario.node[197].veinsmobility,16.25,3.7,27030.5,27091,205.306,840.666,60
RSUExampleScenario.node[339].veinsmobility,16.1938,6.9,27050.5,27091,131.886,498.03,40
RSUExampleScenario.node[68].veinsmobility,21.5384,-1.87306,27012.5,27091.5,224.844,681.484,78.5
RSUExampleScenario.node[194].veinsmobility,16.45,5.28805,27029.5,27091.5,209.06,869.37,61.5
RSUExampleScenario.node[193].veinsmobility,15.0988,1.42369,27029.5,27092,161.088,637.206,62
RSUExampleScenario.node[226].veinsmobility,16.4403,4.37661,27034.5,27092,184.844,655.692,57
RSUExampleScenario.node[183].veinsmobility,20.75,0,27028,27093.5,287.18,925.29,65
RSUExampleScenario.node[223].veinsmobility,16.3381,1.26221,27034,27094.5,161.724,640.387,60
RSUExampleScenario.node[217].veinsmobility,15.9753,0.956758,27033,27094.5,171.457,636.741,61
RSUExampleScenario.node[47].veinsmobility,16.25,0,27008.5,27095,211.018,752.886,86
RSUExampleScenario.node[245].veinsmobility,15.85,2.78876,27037,27095,160.59,664.508,57.5
RSUExampleScenario.node[509].veinsmobility,9.78197,2.50121,27075,27095.5,36.8197,107.875,20
RSUExampleScenario.node[107].veinsmobility,19,0,27017.5,27095.5,225.107,679.416,77.5
RSUExampleScenario.node[204].veinsmobility,18.8714,3.98495,27031.5,27096,231.312,934.311,64
RSUExampleScenario.node[212].veinsmobility,15.6909,1.87072,27032.5,27096,172.359,642.709,63
RSUExampleScenario.node[300].veinsmobility,16.2454,6.15,27045,27096,156.172,605.123,50.5
RSUExampleScenario.node[388].veinsmobility,16.9458,5.11889,27057.5,27097,144.501,495.975,39
RSUExampleScenario.node[294].veinsmobility,15,7.1,27044,27097.5,153.497,661.238,53
RSUExampleScenario.node[180].veinsmobility,16.52,4.25274,27027,27098,234.996,951.091,70.5
RSUExampleScenario.node[253].veinsmobility,16.95,5.7,27038,27098,208.455,879.535,59.5
RSUExampleScenario.node[276].veinsmobility,15.65,2.0975,27041,27098.5,158.645,631.13,57
RSUExampleScenario.node[322].veinsmobility,21.25,3.16847,27047.5,27100,196.075,651.441,52
RSUExampleScenario.node[152].veinsmobility,16.3036,0,27023.5,27101,228.848,753.064,77
RSUExampleScenario.node[3].veinsmobility,16.25,0,27001,27101.5,287.445,1082.45,100
RSUExampleScenario.node[45].veinsmobility,15.85,0,27008,27101.5,238.895,994.386,93
RSUExampleScenario.node[71].veinsmobility,16.2936,0,27012.5,27102,255.059,909.292,89
RSUExampleScenario.node[347].veinsmobility,16.3701,6.9,27051.5,27102.5,150.68,633.623,50.5
RSUExampleScenario.node[40].veinsmobility,18.5,0,27007,27104.5,252.652,901.898,97
RSUExampleScenario.node[288].veinsmobility,15.9448,5.5,27042.5,27104.5,196.755,877.687,61.5
RSUExampleScenario.node[141].veinsmobility,21,0,27022.5,27105,211.438,667.922,82
RSUExampleScenario.node[88].veinsmobility,16.25,0,27015.5,27105.5,212.579,674.268,89.5
RSUExampleScenario.node[6].veinsmobility,20.1022,0,27001.5,27106,300.339,1005.39,104
RSUExampleScenario.node[172].veinsmobility,15.6715,5.59778,27026,27108,209.668,1004.13,81.5
RSUExampleScenario.node[220].veinsmobility,19.3898,0,27033.5,27108.5,232.33,753.818,74.5
RSUExampleScenario.node[660].veinsmobility,15.5589,2.15,27096,27109,49.5073,114.828,12.5
RSUExampleScenario.node[309].veinsmobility,16,5.52408,27046,27109,183.579,754.416,62.5
RSUExampleScenario.node[196].veinsmobility,16.25,0,27030.5,27110,197.483,674.641,79
RSUExampleScenario.node[267].veinsmobility,16.25,6.9,27039.5,27112.5,213.146,1017.31,72.5
RSUExampleScenario.node[121].veinsmobility,21.5,0,27020,27115,291.946,1061.13,94.5
RSUExampleScenario.node[272].veinsmobility,15.5,0,27040,27115,191.858,687.699,74.5
RSUExampleScenario.node[99].veinsmobility,21.5,0,27017,27115.5,316.665,1059.4,98
RSUExampleScenario.node[291].veinsmobility,16.25,6.1,27043.5,27116,202.324,987.336,72
RSUExampleScenario.node[290].veinsmobility,16.25,0,27043,27117,211.907,685.433,73.5
RSUExampleScenario.node[50].veinsmobility,21.5,0,27009,27118,330.847,1076.6,108.5
RSUExampleScenario.node[147].veinsmobility,20.5985,0,27023,27118.5,253.227,1061.18,95
RSUExampleScenario.node[114].veinsmobility,21.1825,0,27018.5,27119,298.56,1082.91,100
RSUExampleScenario.node[154].veinsmobility,21.6692,0,27024,27121,281.104,1083.92,96.5
RSUExampleScenario.node[421].veinsmobility,15.5,1.71685,27062.5,27125,182.091,677.922,62
RSUExampleScenario.node[9].veinsmobility,15.65,0,27002,27125,261.274,1035.65,122.5
RSUExampleScenario.node[117].veinsmobility,16.25,0,27019,27126,251.11,1045.95,106.5
RSUExampleScenario.node[28].veinsmobility,19.25,0,27005.5,27126.5,350.121,1113.52,120.5
RSUExampleScenario.node[81].veinsmobility,19.5,0,27014.5,27126.5,326.701,1120.12,111.5
RSUExampleScenario.node[7].veinsmobility,19.4,0,27001.5,27126.5,317.233,978.496,124.5
RSUExampleScenario.node[84].veinsmobility,15.888,0,27015,27127.5,254.77,1033.02,112
RSUExampleScenario.node[463].veinsmobility,15,0,27069,27128.5,116.287,272.21,59
RSUExampleScenario.node[153].veinsmobility,21,0,27024,27129.5,315.384,997.008,105
RSUExampleScenario.node[10].veinsmobility,18.5234,0,27002,27130,283.149,993.168,127.5
RSUExampleScenario.node[51].veinsmobility,19.4,0,27009.5,27130,272.29,972.649,120
RSUExampleScenario.node[4].veinsmobility,19.75,0,27001.5,27130,362.878,1000.6,128
RSUExampleScenario.node[41].veinsmobility,19.75,0,27007.5,27130,333.918,1007.11,122
RSUExampleScenario.node[110].veinsmobility,18.5337,0,27018,27130,289.476,1004.57,111.5
RSUExampleScenario.node[459].veinsmobility,15.1357,0,27068.5,27130.5,120.888,274.156,61.5
RSUExampleScenario.node[806].veinsmobility,13.7068,6.14479,27118.5,27130.5,43.464,113.513,11.5
RSUExampleScenario.node[100].veinsmobility,15.7708,0,27017,27130.5,279.529,1029.62,113
RSUExampleScenario.node[307].veinsmobility,16.25,0,27045.5,27132.5,291.719,1131.45,86.5
RSUExampleScenario.node[19].veinsmobility,18.5415,0,27003.5,27132.5,309.98,1009.02,128.5
RSUExampleScenario.node[139].veinsmobility,15.2776,0,27022,27132.5,268.084,1055.96,110
RSUExampleScenario.node[327].veinsmobility,17.5,3.5,27048.5,27133,294.911,1195.21,84
RSUExampleScenario.node[29].veinsmobility,17.8052,0,27006,27133,292.771,992.32,126.5
RSUExampleScenario.node[266].veinsmobility,16.25,0,27039.5,27133.5,167.038,281.849,93.5
RSUExampleScenario.node[63].veinsmobility,23.2,0,27012,27134.5,425.283,1281.02,122
RSUExampleScenario.node[174].veinsmobility,18.5563,0,27026.5,27134.5,272.318,989.547,107.5
RSUExampleScenario.node[325].veinsmobility,15,0,27048.5,27135,151.034,281.953,86
RSUExampleScenario.node[282].veinsmobility,16.25,0,27042,27135,164.888,277.197,92.5
RSUExampleScenario.node[112].veinsmobility,17.5575,0,27018,27135,276.895,976.005,116.5
RSUExampleScenario.node[135].veinsmobility,17.9832,0,27021.5,27135.5,261.322,997.607,113.5
RSUExampleScenario.node[145].veinsmobility,17.1,0,27022.5,27136,281.198,686.703,113
RSUExampleScenario.node[601].veinsmobility,20.1566,5.5,27089.5,27136,202.019,666.643,46
RSUExampleScenario.node[77].veinsmobility,21.9,0,27014,27136.5,326.222,903.44,122
RSUExampleScenario.node[299].veinsmobility,16.25,0,27044.5,27136.5,206.502,588.684,91.5
RSUExampleScenario.node[122].veinsmobility,18.5563,0,27020,27136.5,301.092,1127.56,116
RSUExampleScenario.node[346].veinsmobility,16.25,0,27051.5,27137,157.12,276.112,85
RSUExampleScenario.node[161].veinsmobility,18.0989,0,27024.5,27138,266.955,992.914,113
RSUExampleScenario.node[228].veinsmobility,18.9171,0,27034.5,27138,264.964,956.939,103
RSUExampleScenario.node[481].veinsmobility,16.25,0,27071,27138,157.72,458.052,66.5
RSUExampleScenario.node[2].veinsmobility,18.0611,0,27001,27138,384.828,1358.89,136.5
RSUExampleScenario.node[43].veinsmobility,15,0,27007.5,27138.5,329.626,1333.76,130.5
RSUExampleScenario.node[381].veinsmobility,16.25,0,27056.5,27139,150.465,276.989,82
