time,RSUExampleScenario.node[2238].veinsmobility.speed
27332,7.1
27332.5,5.93651
27333,5.93651
27333.5,6.43651
27334,7.43651
27334.5,8.68651
27335,9.93651
27335.5,11.1865
27336,11.2387
27336.5,11.2783
27337,11.3222
27337.5,11.2997
27338,11.4302
27338.5,11.5605
27339,12.1907
27339.5,13.2387
27340,14.3329
27340.5,15.3801
27341,15.4957
27341.5,15.5855
27342,13.8662
27342.5,11.9003
27343,11.9003
27343.5,10.5366
27344,10.5366
27344.5,8.28663
27345,8.28663
27345.5,6.03663
27346,6.03663
27346.5,6.16236
27347,6.09034
27347.5,5.98363
27348,5.59829
27348.5,5.04432
27349,4.39869
27349.5,3.79675
27350,3.09908
27350.5,2.37788
27351,1.68235
27351.5,0.922089
27352,0
27352.5,0.116701
27353,0.508233
27353.5,0
27354,0.117462
27354.5,0.233887
27355,0
27355.5,0.117882
27356,0.234737
27356.5,0
27357,0.11849
27357.5,0.375988
27358,0
27358.5,0.312434
27359,0
27359.5,0.410879
27360,0.823954
27360.5,0
27361,0.504729
27361.5,0.551903
27362,0.585153
27362.5,0
27363,0.412024
27363.5,0.449258
27364,0
27364.5,0.118444
27365,0.235877
27365.5,0.282209
27366,0.324878
27366.5,0.358535
27367,0
27367.5,0.118206
27368,0.235394
27368.5,0.2722
27369,0.300209
27369.5,0
27370,0.117733
27370.5,0.154578
27371,0.189181
27371.5,0.220708
27372,0.471956
27372.5,0.773169
27373,1.24557
27373.5,1.81128
27374,2.30957
27374.5,2.67676
27375,3.00484
27375.5,3.30673
27376,3.67344
27376.5,4.15273
27377,4.773
27377.5,5.54242
27378,6.44751
27378.5,7.46107
27379,8.54414
27379.5,9.62142
27380,10.5928
27380.5,11.3538
27381,11.8274
27381.5,11.9543
27382,12.0829
27382.5,12.2074
27383,12.2584
27383.5,12.234
27384,12.1771
27384.5,11
27385,11
27385.5,11
27386,11
27386.5,11
27387,11
27387.5,11
27388,11
27388.5,11
27389,11.1403
27389.5,11.2769
27390,11.6084
27390.5,11.7222
27391,11.8278
27391.5,11.9221
27392,11.9615
27392.5,11.9248
27393,11.851
27393.5,11.7136
27394,12.0762
27394.5,12.1711
27395,12.2447
27395.5,11.8898
27396,11.7355
27396.5,10.5812
27397,8.42681
27397.5,8.42681
27398,8.68178
27398.5,8.7214
27399,8.70343
27399.5,8.69533
27400,8.71034
27400.5,8.74177
27401,8.78019
27401.5,8.81874
27402,9
27402.5,9
27403,9
27403.5,9
27404,9
27404.5,9.5
27405,10.0159
27405.5,10.3635
27406,10.4598
27406.5,10.5086
27407,10.4754
27407.5,10.2476
27408,10.1325
27408.5,10.0734
27409,10.043
27409.5,10.2274
27410,10.9118
27410.5,10.7593
27411,10.4156
27411.5,10.127
27412,9.04366
27412.5,6.96027
27413,6.96027
27413.5,6.42591
27414,4.89155
27414.5,2.87995
27415,2.87995
27415.5,3.37995
27416,4.37995
27416.5,5.62995
27417,6.87995
27417.5,7.00677
27418,7.1272
27418.5,7.74764
27419,7.86332
27419.5,7.98087
27420,8.10872
27420.5,8.73657
27421,8.86479
27421.5,8.99283
27422,9.11869
27422.5,9.4294
27423,10.2401
27423.5,9.79503
27424,8.34996
27424.5,6.09996
27425,6.09996
27425.5,4.9294
27426,4.9294
27426.5,4.86459
27427,4.74473
27427.5,4.08798
27428,2.43124
27428.5,2.43124
27429,2.91188
27429.5,2.99559
27430,2.92855
27430.5,2.86595
27431,1.80334
27431.5,0.900071
27432,0
27432.5,0.478488
27433,0
27433.5,0
27434,0
27434.5,0.317141
27435,0
27435.5,0.371002
27436,0
27436.5,0.030542
27437,0.0673371
27437.5,0.101023
27438,0.13755
27438.5,0
27439,0.341953
27439.5,0
27440,0.385984
27440.5,0.427475
27441,0
27441.5,0.0490104
27442,0.0968629
27442.5,0.145726
27443,0.18462
27443.5,0.234353
27444,0
27444.5,0.0524741
27445,0.105494
27445.5,0.154015
27446,0.196006
27446.5,0.245506
27447,0
27447.5,0.383518
27448,0
27448.5,0.0533511
27449,0.105466
27449.5,0.153996
27450,0.207177
27450.5,0.242007
27451,0.295677
27451.5,0
27452,0.0536196
27452.5,0.105964
27453,0.154602
27453.5,0.207494
27454,0.241852
27454.5,0.269068
27455,0
27455.5,0.0529066
27456,0.104511
27456.5,0.152326
27457,0.194358
27457.5,0.229381
27458,0.256979
27458.5,0
27459,0.0478069
27459.5,0.0951432
27460,0.139688
27460.5,0.17952
27461,0.213352
27461.5,0
27462,0.046482
27462.5,0.0924578
27463,0.135597
27463.5,0.173979
27464,0.206345
27464.5,0
27465,0.044758
27465.5,0.0889806
27466,0.130365
27466.5,0.167028
27467,0.195573
27467.5,0
27468,0.0407547
27468.5,0.0817937
27469,0.120939
27469.5,0.154471
27470,0
27470.5,0.0396885
27471,0.0795476
27471.5,0.11605
27472,0.145724
27472.5,0
27473,0.03634
27473.5,0.0715781
27474,0.103591
27474.5,0.129569
27475,0
27475.5,0.0312124
27476,0.0614464
27476.5,0.0881759
27477,0
27477.5,0.0275259
27478,0.0538804
27478.5,0
27479,0.0255073
27479.5,0
27480,0
27480.5,0
27481,0
27481.5,0
27482,0
27482.5,0
27483,0
27483.5,0
27484,0
27484.5,0
27485,0
27485.5,0
27486,0
27486.5,0
27487,0
27487.5,0
27488,0
27488.5,0
27489,0
27489.5,0
27490,0
27490.5,0
27491,0
27491.5,0
27492,0
27492.5,0
27493,0
27493.5,0
27494,0
27494.5,0
27495,0
27495.5,0
27496,0
27496.5,0
27497,0
27497.5,0
27498,0
27498.5,0
27499,0
27499.5,0
27500,0
27500.5,0
27501,0
27501.5,0
27502,0
27502.5,0
27503,0
27503.5,0
27504,0
27504.5,0
27505,0
27505.5,0
27506,0
27506.5,0
27507,0
27507.5,0
27508,0
27508.5,0
27509,0
27509.5,0
27510,0
27510.5,0
27511,0
27511.5,0
27512,0
27512.5,0
27513,0
27513.5,0
27514,0
27514.5,0
27515,0
27515.5,0
27516,0
27516.5,0
27517,0
27517.5,0
27518,0
27518.5,0
27519,0
27519.5,0
27520,0
27520.5,0
27521,0
27521.5,0
27522,0
27522.5,0
27523,0
27523.5,0
27524,0
27524.5,0
27525,0
27525.5,0
27526,0
27526.5,0
27527,0
27527.5,0
27528,0
27528.5,0
27529,0
27529.5,0
27530,0
27530.5,0
27531,0
27531.5,0
27532,0
27532.5,0
27533,0
27533.5,0
27534,0
27534.5,0
27535,0
27535.5,0
27536,0
27536.5,0
27537,0
27537.5,0
27538,0
27538.5,0
27539,0
27539.5,0
27540,0
27540.5,0
27541,0
27541.5,0
27542,0
27542.5,0
27543,0
27543.5,0
27544,0
27544.5,0
27545,0
27545.5,0
27546,0
27546.5,0
27547,0
27547.5,0
27548,0
27548.5,0
27549,0
27549.5,0
27550,0
27550.5,0
27551,0
27551.5,0
27552,0
27552.5,0
27553,0
27553.5,0
27554,0
27554.5,0
27555,0
27555.5,0
27556,0
27556.5,0
27557,0
27557.5,0
27558,0
27558.5,0
27559,0
27559.5,0
27560,0
27560.5,0
27561,0
27561.5,0
27562,0
27562.5,0
27563,0
27563.5,0
27564,0
27564.5,0
27565,0
27565.5,0
27566,0
27566.5,0
27567,0
27567.5,0
27568,0
27568.5,0
27569,0
27569.5,0
27570,0
27570.5,0
27571,0
27571.5,0
27572,0
27572.5,0
27573,0
27573.5,0
27574,0
27574.5,0
27575,0
27575.5,0
27576,0
27576.5,0
27577,0
27577.5,0
27578,0
27578.5,0
27579,0
27579.5,0
27580,0
27580.5,0
27581,0
27581.5,0
27582,0
27582.5,0
27583,0
27583.5,0
27584,0
27584.5,0
27585,0
27585.5,0
27586,0
27586.5,0
27587,0
27587.5,0
27588,0
27588.5,0
27589,0
27589.5,0
27590,0
27590.5,0
27591,0
27591.5,0
27592,0
27592.5,0
27593,0
27593.5,0
27594,0
27594.5,0
27595,0
27595.5,0
27596,0
27596.5,0
27597,0
27597.5,0
27598,0
27598.5,0
27599,0
27599.5,0
27600,0
27600.5,0
27601,0
27601.5,0
27602,0
27602.5,0
27603,0
27603.5,0
27604,0
27604.5,0
27605,0
27605.5,0
27606,0
27606.5,0
27607,0
27607.5,0
27608,0
27608.5,0
27609,0
27609.5,0
27610,0
27610.5,0
27611,0
27611.5,0
27612,0
27612.5,0
27613,0
27613.5,0
27614,0
27614.5,0
27615,0
27615.5,0
27616,0
27616.5,0
27617,0
27617.5,0
27618,0
27618.5,0
27619,0
27619.5,0
27620,0
27620.5,0
27621,0
27621.5,0
27622,0
27622.5,0
27623,0
27623.5,0
27624,0
27624.5,0
27625,0
27625.5,0
27626,0
27626.5,0
27627,0
27627.5,0
27628,0
27628.5,0
27629,0
27629.5,0
27630,0
27630.5,0
27631,0
27631.5,0
27632,0
27632.5,0
27633,0
27633.5,0
27634,0
27634.5,0
27635,0
27635.5,0
27636,0
27636.5,0
27637,0
27637.5,0
27638,0
27638.5,0
27639,0
27639.5,0
27640,0
27640.5,0
27641,0
27641.5,0
27642,0
27642.5,0
27643,0
27643.5,0
27644,0
27644.5,0
27645,0
27645.5,0
27646,0
27646.5,0
27647,0
27647.5,0
27648,0
27648.5,0
27649,0
27649.5,0
27650,0
27650.5,0
27651,0
27651.5,0
27652,0
27652.5,0
27653,0
27653.5,0
27654,0
27654.5,0
27655,0
27655.5,0
27656,0
27656.5,0
27657,0
27657.5,0
27658,0
27658.5,0
27659,0
27659.5,0
27660,0
27660.5,0
27661,0
27661.5,0
27662,0
27662.5,0
27663,0
27663.5,0
27664,0
27664.5,0
27665,0
27665.5,0
27666,0
27666.5,0
27667,0
27667.5,0
27668,0
27668.5,0
27669,0
27669.5,0
27670,0
27670.5,0
27671,0
27671.5,0
27672,0
27672.5,0
27673,0
27673.5,0
27674,0
27674.5,0
27675,0
27675.5,0
27676,0
27676.5,0
27677,0
27677.5,0
27678,0
27678.5,0
27679,0
27679.5,0
27680,0
27680.5,0
27681,0
27681.5,0
27682,0
27682.5,0
27683,0
27683.5,0
27684,0
27684.5,0
27685,0
27685.5,0
27686,0
27686.5,0
27687,0
27687.5,0
27688,0
27688.5,0
27689,0
27689.5,0
27690,0
27690.5,0
27691,0
27691.5,0
27692,0
27692.5,0
27693,0
27693.5,0
27694,0
27694.5,0
27695,0
27695.5,0
27696,0
27696.5,0
27697,0
27697.5,0
27698,0
27698.5,0
27699,0
27699.5,0
27700,0
27700.5,0
27701,0
27701.5,0
27702,0
27702.5,0
27703,0
27703.5,0
27704,0
27704.5,0
27705,0
27705.5,0
27706,0
27706.5,0
27707,0
27707.5,0
27708,0
27708.5,0
27709,0
27709.5,0
27710,0
27710.5,0
27711,0
27711.5,0
27712,0
27712.5,0
27713,0
27713.5,0
27714,0
27714.5,0
27715,0
27715.5,0
27716,0
27716.5,0
27717,0
27717.5,0
27718,0
27718.5,0
27719,0
27719.5,0
27720,0
27720.5,0
27721,0
27721.5,0
27722,0
27722.5,0
27723,0
27723.5,0
27724,0
27724.5,0
27725,0
27725.5,0
27726,0
27726.5,0
27727,0
27727.5,0
27728,0
27728.5,0
27729,0
27729.5,0
27730,0
27730.5,0
27731,0
27731.5,0
27732,0
27732.5,0
27733,0
27733.5,0
27734,0
27734.5,0
27735,0
27735.5,0
27736,0
27736.5,0
27737,0
27737.5,0
27738,0
27738.5,0
27739,0
27739.5,0
27740,0
27740.5,0
27741,0
27741.5,0
27742,0
27742.5,0
27743,0
27743.5,0
27744,0
27744.5,0
27745,0
27745.5,0
27746,0
27746.5,0
27747,0
27747.5,0
27748,0
27748.5,0
27749,0
27749.5,0
27750,0
27750.5,0
27751,0
27751.5,0
27752,0
27752.5,0
27753,0
27753.5,0
27754,0
27754.5,0
27755,0
27755.5,0
27756,0
27756.5,0
27757,0
27757.5,0
27758,0
27758.5,0
27759,0
27759.5,0
27760,0
27760.5,0
27761,0
27761.5,0
27762,0
27762.5,0
27763,0
27763.5,0
27764,0
27764.5,0
27765,0
27765.5,0
27766,0
27766.5,0
27767,0
27767.5,0
27768,0
27768.5,0
27769,0
27769.5,0
27770,0
27770.5,0
27771,0
27771.5,0
27772,0
27772.5,0
27773,0
27773.5,0
27774,0
27774.5,0
27775,0
27775.5,0
27776,0
27776.5,0
27777,0
27777.5,0
27778,0
27778.5,0
27779,0
27779.5,0
27780,0
27780.5,0
27781,0
27781.5,0
27782,0
27782.5,0
27783,0
27783.5,0
27784,0
27784.5,0
27785,0
27785.5,0
27786,0
27786.5,0
27787,0
27787.5,0
27788,0
27788.5,0
27789,0
27789.5,0
27790,0
27790.5,0
27791,0
27791.5,0
27792,0
27792.5,0
27793,0
27793.5,0
27794,0
27794.5,0
27795,0
27795.5,0
27796,0
27796.5,0
27797,0
27797.5,0
27798,0
27798.5,0
27799,0
27799.5,0
27800,0
27800.5,0
27801,0
27801.5,0
27802,0
27802.5,0
27803,0
27803.5,0
27804,0
27804.5,0
27805,0
27805.5,0
27806,0
27806.5,0
27807,0
27807.5,0
27808,0
27808.5,0
27809,0
27809.5,0
27810,0
27810.5,0
27811,0
27811.5,0
27812,0
27812.5,0
27813,0
27813.5,0
27814,0
27814.5,0
27815,0
27815.5,0
27816,0
27816.5,0
27817,0
27817.5,0
27818,0
27818.5,0
27819,0
27819.5,0
27820,0
27820.5,0
27821,0
27821.5,0
27822,0
27822.5,0
27823,0
27823.5,0
27824,0
27824.5,0
27825,0
27825.5,0
27826,0
27826.5,0
27827,0
27827.5,0
27828,0
27828.5,0
27829,0
27829.5,0
27830,0
27830.5,0
27831,0
27831.5,0
27832,0
27832.5,0
27833,0
27833.5,0
27834,0
27834.5,0
27835,0
27835.5,0
27836,0
27836.5,0
27837,0
27837.5,0
27838,0
27838.5,0
27839,0
27839.5,0
27840,0
27840.5,0
27841,0
27841.5,0
27842,0
27842.5,0
27843,0
27843.5,0
27844,0
27844.5,0
27845,0
27845.5,0
27846,0
27846.5,0
27847,0
27847.5,0
27848,0
27848.5,0
27849,0
27849.5,0
27850,0
27850.5,0
27851,0
27851.5,0
27852,0
27852.5,0
27853,0
27853.5,0
27854,0
27854.5,0
27855,0
27855.5,0
27856,0
27856.5,0
27857,0
27857.5,0
27858,0
27858.5,0
27859,0
27859.5,0
27860,0
27860.5,0
27861,0
27861.5,0
27862,0
27862.5,0
27863,0
27863.5,0
27864,0
27864.5,0
27865,0
27865.5,0
27866,0
27866.5,0
27867,0
27867.5,0
27868,0
27868.5,0
27869,0
27869.5,0
27870,0
27870.5,0
27871,0
27871.5,0
27872,0
27872.5,0
27873,0
27873.5,0
27874,0
27874.5,0
27875,0
27875.5,0
27876,0
27876.5,0
27877,0
27877.5,0
27878,0
27878.5,0
27879,0
27879.5,0
27880,0
27880.5,0
27881,0
27881.5,0
27882,0
27882.5,0
27883,0
27883.5,0
27884,0
27884.5,0
27885,0
27885.5,0
27886,0
27886.5,0
27887,0
27887.5,0
27888,0
27888.5,0
27889,0
27889.5,0
27890,0
27890.5,0
27891,0
27891.5,0
27892,0
27892.5,0
27893,0
27893.5,0
27894,0
27894.5,0
27895,0
27895.5,0
27896,0
27896.5,0
27897,0
27897.5,0
27898,0
27898.5,0
27899,0
27899.5,0
27900,0
