Module;maxSpeed;minSpeed;startTime;stopTime;totalCO2Emission;totalDistance;totalTime
6;16.9;6.9;27002.5;27011.5;42.5646;106.517;8.5
23;16.25;6.9;27007.5;27029;81.417;282.983;21
69;15.65;6.9;27020.5;27029.5;37.9131;104.936;8.5
12;21.25;6.9;27004.5;27034;138.286;467.546;29
110;15.85;7.1;27032;27041;37.2591;105.682;8.5
0;18.5987;6.9;27000.5;27049;171.3;769.415;48
5;18.9382;6.9;27002;27050;174.428;770.941;47.5
15;20.5;6.9;27006;27051.5;185.276;766.727;45
26;16.75;0;27008.5;27053.5;138.443;475.567;44.5
20;19.5324;6.9;27007;27053.5;181.305;765.545;46
31;18.2644;6.9;27011;27059.5;170.475;768.99;48
27;15.2917;6.9;27008.5;27062;168.998;693.983;53
50;18.75;5.5;27016;27062.5;166.562;659.751;46
52;19.25;6.9;27016;27062.5;180.639;770.783;46
58;19.5748;6.9;27017;27063.5;183.426;768.185;46
22;18.75;5.5;27007.5;27064.5;188.988;862.727;56.5
74;13.3675;0;27023;27067.5;98.1646;274.966;44
76;19.25;6.9;27023;27070.5;178.543;767.446;47
82;19.5324;6.9;27024;27070.5;183.882;767.303;46
28;16.25;0;27009.5;27073;180.784;491.382;63
56;15.1402;6.9;27017;27074;152.052;753.958;56.5
102;19.5748;6.9;27028.5;27075;184.053;768.056;46
81;15.7778;0;27024;27075.5;152.942;486.595;51
104;19.5748;7.1;27029;27076.5;186.046;784.943;47
59;15.4371;3.5;27017;27077;180.763;835.304;59.5
62;16.25;5.5;27017.5;27077.5;196.284;870.874;59.5
146;15.5;6.9;27041.5;27080.5;127.79;489.813;38.5
112;18.2643;6.9;27032.5;27081;170.474;768.99;48
92;17.5;3.5;27026;27082;201.435;860.319;55.5
216;18.15;6.05457;27057.5;27082.5;81.6429;335.191;24.5
221;18.0036;6.75;27059.5;27084;83.3418;336.372;24
64;16.25;0;27018.5;27087;184.755;635.202;68
24;17.1;0;27007.5;27087;197.689;650.356;79
11;16.25;0;27004.5;27087;201.293;635.354;82
171;16.15;5.4;27046.5;27087;134.738;496.145;40
45;16.25;0;27015;27089;187.135;671.447;73.5
87;16.4182;0;27025;27089;187.004;636.509;63.5
128;18.6883;6.9;27036;27089;180.985;852.272;52.5
36;17.8921;0;27013;27090.5;240.87;864.212;77
255;12.9;0;27069.5;27090.5;49.9843;107.138;20.5
105;15.428;1.09048;27029.5;27091;163.152;640.02;61
137;15.65;4.4431;27038;27091;155.879;627.594;52.5
39;16.25;0;27013.5;27092.5;246.881;887.475;78.5
113;16.25;3.5;27032.5;27092.5;201.722;863.523;59.5
207;16.7397;6.9;27055.5;27093;136.949;492.22;37
306;13.416;5.4;27082;27094.5;42.0034;109.613;12
165;15.1243;5.6;27045;27094.5;151.822;636.967;49
122;15.65;3.16255;27035;27095;163.2;636.859;59.5
33;15.65;0;27012.5;27095;213.67;992.062;82
121;16.25;5.7;27034.5;27095.5;196.066;876.725;60.5
140;15.2078;3.80848;27039;27097;150.454;645.502;57.5
155;15.8598;4.36334;27043.5;27098.5;158.118;640.039;54.5
175;16.25;5.6;27048;27099.5;162.659;640.783;51
142;16.3921;3.5;27039;27100;204.353;865.281;60.5
196;16.25;6.9;27053;27101;143.338;617.377;47.5
120;16.4992;3.54646;27034.5;27101.5;199.655;754.104;66.5
148;16.25;3.5;27041.5;27102;197.444;861.326;60
55;15.1993;0;27017;27103;195.623;678.558;85.5
163;16.5841;3.5;27044.5;27104;206.586;865.774;59
43;15;0;27014.5;27105;245.838;1100.24;90
19;15.65;0;27006.5;27108;301.325;1334.89;101
186;16.25;3.89328;27050.5;27109;175.753;674.25;58
227;16.25;6.9;27061;27112;155.961;672.581;50.5
16;23.15;0;27006;27119.5;336.383;1144.59;113
208;15.3957;0;27055.5;27120;136.566;283.86;64
80;16.2022;0;27023.5;27122;244.855;1029.16;98
357;15.2622;4.43702;27097;27126;84.4852;273.337;28.5
38;18.15;0;27013.5;27127.5;287.023;973.534;113.5
379;15.006;6.9;27101;27128;74.0587;273.946;26.5
8;22.5;0;27003;27128.5;455.165;1282.16;125
61;16.9;6.9;27017.5;27128.5;354.859;1568.3;110.5
46;19.4;0;27015;27128.5;278.776;976.667;113
143;15.65;0;27040;27129;222.622;1034.2;88.5
98;19.5;0;27027.5;27130;280.277;980.404;102
71;19.75;0;27021;27130;294.794;992.251;108.5
21;18.5;0;27007.5;27130.5;300.84;991.492;122.5
156;16.0059;2.55018;27044;27130.5;227.545;1010.84;86
191;16.9;5.19894;27051.5;27131.5;238.928;1034.7;79.5
42;17.8252;0;27014;27132.5;351.572;1153.24;118
320;16.25;0;27087;27133.5;120.988;279.773;46
154;19.25;0;27043;27133.5;261.142;980.728;90
138;15.8736;0;27038;27134;268.555;1062.3;95.5
158;17.7217;1.23216;27044;27136.5;246.721;977.242;92
13;16.25;0;27005.5;27136.5;298.674;797.066;130.5
1;22.4552;0;27000.5;27137;357.437;906.957;136
25;15.2202;0;27007.5;27138;342.305;1360.11;130
34;16.4067;0;27013;27138;281.453;790.731;124.5
438;17.3898;6.9;27116;27138.5;101.591;284.116;22
166;16.25;0;27045;27139;225.745;625.644;93.5
179;16.25;0;27048.5;27139;218.85;620.647;90
18;19;0;27006.5;27140;325.751;904.688;133
85;16.0097;0;27024.5;27140;258.246;772.326;115
202;16.25;0;27054.5;27140.5;213.855;621.527;85.5
192;15.752;-0.123376;27051.5;27141;213.637;622.276;89
204;18.9409;0;27054.5;27142;267.29;918.177;87
40;15.65;0;27014;27142;248.572;662.118;127.5
247;16.25;0;27067;27142.5;191.333;626.621;75
220;19.1885;0;27059;27143;264.62;913.676;83.5
181;16;0;27048.5;27143;256.613;872.059;94
174;15.3923;0;27047.5;27143.5;251.207;861.253;95.5
189;16.4095;0;27051;27143.5;255.41;1070.15;92
131;19.7075;0;27036.5;27144;313.017;909.082;107
94;15.0118;0;27026.5;27144;232.921;660.122;117
225;16.22;0;27060;27145;243.185;866.839;84.5
86;16.0959;0;27024.5;27145.5;319.758;1067.8;120.5
70;15.65;0;27020.5;27145.5;310.049;1063.87;124.5
279;15.65;0;27076;27146;175.127;662.43;69.5
93;16.29;0;27026;27146.5;296.039;707.279;120
3;21.2414;0;27001.5;27146.5;326.914;844.023;144.5
261;15.65;6.9;27071.5;27146.5;198.115;1030.82;74.5
229;16.635;0;27061;27147;264.139;890.228;85.5
248;16.25;0;27067;27147.5;248.421;864.234;80
91;16.25;0;27025.5;27148;283.326;686.089;122
265;16.6557;0;27073;27150.5;248.635;876.949;77
65;22.25;0;27019;27151;368.953;1313.15;131.5
182;16.25;0;27049;27151;246.958;791.73;101.5
180;19.75;0;27048.5;27153.5;251.239;767.871;104.5
162;19.3935;0;27044.5;27153.5;264.705;768.877;108.5
129;19.75;0;27036.5;27153.5;268.505;768.766;116.5
115;15;0;27033.5;27154;231.231;880.013;120
537;14.4;6.9;27144.5;27154;35.2736;109.417;9
141;19.25;0;27039;27154;255.381;779.965;114.5
54;23.75;0;27017;27154.5;497.502;1569.82;137
169;19.2576;0;27046;27154.5;265.744;774.86;108
288;15.7;0;27078;27154.5;227.449;897.207;76
132;17.75;0;27037;27155.5;242.706;657.762;118
176;18.9976;0;27048;27155.5;249.631;783.829;107
157;19.0075;0;27044;27155.5;251.308;769.693;111
238;18.8521;0;27064;27156.5;233.978;764.749;92
149;16.1445;0;27042;27157;242.96;865.844;114.5
321;19.25;0;27087.5;27157.5;205.41;780.266;69.5
250;18.3615;0;27068;27157.5;222.706;766.432;89
304;16.25;0;27081.5;27157.5;241.022;887.709;75.5
311;16.25;1.40171;27084.5;27158;202.383;798.833;73
185;16.8045;0;27050.5;27158.5;241.099;888.865;107.5
68;19.5745;0;27020.5;27159;369.439;1411.2;138
303;18.8341;0;27080.5;27159;220.124;772.559;78
281;18.2986;0;27076.5;27159.5;216.604;768.267;82.5
381;19.25;2.73958;27101.5;27159.5;193.431;770.506;57.5
310;16.4211;0;27084;27160.5;215.12;866.129;76
35;19.4;0;27013;27161;420.787;1300.67;147.5
296;19.25;0;27079.5;27161;205.81;752.182;81
293;18.0694;0;27079;27161.5;203.289;775.011;82
161;15.7991;0;27044.5;27162;286.087;692.91;117
327;19.9403;0;27090;27162;218.604;776.379;71.5
317;19.0682;0;27085.5;27163;209.9;771.123;77
205;15.9446;0;27055;27163.5;245.463;873.738;108
99;18.35;0;27028;27164;358.141;1317.96;135.5
388;19.25;3.2825;27104;27164;197.722;770.412;59.5
323;15.3958;0;27088;27164;199.705;885.001;75.5
363;18.4546;0;27098;27164.5;198.123;771.838;66
407;19.6841;2.49228;27108;27165;198.821;771.909;56.5
413;18.5686;1.51726;27109;27165.5;200.111;762.628;56
335;15.7695;0;27091;27166;213.271;893.336;74.5
77;18.15;0;27023;27166.5;380.296;1301.46;143
194;16.5472;0;27052.5;27167.5;233.158;752.091;114.5
231;14.9765;0;27062;27167.5;227.87;858.376;105
124;18.6247;0;27035;27168;361.519;1302.56;132.5
546;15.65;6.9;27147;27168.5;75.5002;278.178;21
360;15.65;0;27097.5;27169;191.584;747.544;71
130;18.15;0;27036.5;27169;361.563;1295.42;132
425;18.0185;4.1958;27112;27169;180.995;771.092;56.5
353;15.4383;0.011344;27095.5;27169;210.808;890.414;73
109;16.3595;0;27032;27169.5;323.729;1095.29;137
136;18.2247;0;27037.5;27169.5;344.033;1305.71;131.5
172;15.65;0;27046.5;27170;281.713;945.798;123
442;19.25;5.4;27117.5;27170;176.529;770.294;52
337;15.7958;1.07055;27091.5;27170;204.058;868.483;78
350;15;0;27095;27171;179.228;692.84;75.5
134;18.0894;0;27037;27171;370.272;1312.84;133.5
396;15.0224;3.5;27105.5;27171;194.649;859.618;65
127;15.8627;0;27036;27171.5;271.627;755.962;135
232;16.25;0;27062;27172;231.114;692.31;109.5
133;15.9195;0;27037;27172.5;307.509;1100.6;135
390;16.25;0;27104.5;27172.5;184.471;594.54;67.5
399;15.3453;5.5;27106;27172.5;201.369;883.427;66
549;19.4;6.04395;27148;27173;88.2609;334.645;24.5
111;19.25;0;27032.5;27173;322.913;970.457;140
471;18.5139;7.1;27123.5;27173;169.467;779.067;49
324;14.656;0;27088.5;27173;203.642;861.356;84
367;15.65;0;27099;27174;209.047;750.381;74.5
4;16.25;0;27002;27174.5;373.366;1135.82;172
315;16.5;0;27085;27174.5;230.833;606.987;89
466;16.75;5.12038;27121.5;27175;160.67;772.614;53
610;14.4;6.9;27165;27175.5;35.2843;106.542;10
264;16.504;0;27072.5;27176;241.063;750.663;103
101;15.85;0;27028.5;27176;336.15;1141.86;147
411;15.9875;1.98753;27108.5;27177;214.186;865.769;68
483;15;3.5;27128.5;27177.5;137.132;594.306;48.5
404;15.65;1.34502;27107.5;27178;196.035;752.522;70
147;18;0;27041.5;27178.5;298.77;972.093;136.5
139;15.6276;0;27038.5;27178.5;319.607;1127.4;139.5
412;16.25;0;27109;27179.5;188.149;691.024;70
178;19.25;0;27048.5;27179.5;311.436;973.986;130.5
391;18.75;2.7548;27105;27180;216.188;863.327;74.5
428;15;2.81457;27113.5;27180;188.543;766.618;66
260;19.25;0;27071;27180;280.998;974.936;108.5
160;15.2204;0;27044.5;27180.5;319.525;1126.79;135.5
418;15.6983;0;27110.5;27180.5;210.825;890.245;69.5
447;15.8237;3.97111;27118.5;27182;177.147;754.633;63
423;19;0.133636;27112;27182.5;217.209;863.129;70
226;17.5;0;27060.5;27182.5;306.133;872.921;121.5
436;16.5;-1.04897;27115.5;27183;201.803;871.644;67
463;16.6219;7.1;27121;27183;182.069;866.931;61.5
386;20.5;0;27104;27183.5;268.221;974.838;79
195;15.65;0;27053;27184;255.467;644.782;130.5
541;16.75;5.5;27146.5;27185;120.737;498.621;38
