time,ProvidenciaExampleScenario.node[4616].veinsmobility.speed
27696,1.49899
27696.5,1.99899
27697,2.1201
27697.5,2.24014
27698,1.89057
27698.5,2.041
27699,2.69144
27699.5,2.78644
27700,3.38145
27700.5,3.43623
27701,3.96086
27701.5,4.59302
27702,5.5341
27702.5,6.62964
27703,7.87964
27703.5,8.49035
27704,9.60106
27704.5,8.24324
27705,6.83362
27705.5,5.35951
27706,3.79979
27706.5,3.79979
27707,4.29979
27707.5,5.29979
27708,6.54979
27708.5,7.79979
27709,9.04979
27709.5,10.2998
27710,11.5498
27710.5,12.9998
27711,13.1376
27711.5,12.1369
27712,12.1369
27712.5,11.8869
27713,10.9161
27713.5,10.103
27714,9.39428
27714.5,8.76001
27715,8.17524
27715.5,7.60984
27716,7.05384
27716.5,6.50654
27717,5.96733
27717.5,5.43561
27718,4.91093
27718.5,4.39293
27719,3.88153
27719.5,3.37702
27720,2.88038
27720.5,2.3938
27721,1.92165
27721.5,1.47194
27722,1.05829
27722.5,0.700771
27723,0
27723.5,0
27724,0
27724.5,0
27725,0
27725.5,0
27726,0
27726.5,0
27727,0
27727.5,0
27728,0
27728.5,0
27729,0
27729.5,0.5
27730,1.5
27730.5,2.75
27731,4
27731.5,5.25
27732,6.5
27732.5,7.75
27733,9
27733.5,9.13488
27734,9.06198
27734.5,8.94726
27735,8.90042
27735.5,8.9785
27736,9.41098
27736.5,10.1728
27737,11.1489
27737.5,12.3219
27738,13.0015
27738.5,13.6105
27739,13.7416
27739.5,14.3726
27740,15.1896
27740.5,15.0639
27741,15.0011
27741.5,14.9697
27742,14.954
27742.5,14.9461
27743,14.9422
27743.5,14.9402
27744,14.9393
27744.5,14.9388
27745,14.9385
27745.5,14.9384
27746,14.9383
27746.5,14.9383
27747,14.9383
27747.5,14.9383
27748,14.9383
27748.5,14.9383
27749,14.6873
27749.5,14.7764
27750,12.5264
27750.5,10.2764
27751,8.02637
27751.5,5.77637
27752,5.77637
27752.5,5.22129
27753,5.22129
27753.5,5.72129
27754,6.72129
27754.5,7.97129
27755,9.22129
27755.5,10.0939
27756,10.8339
27756.5,11.5788
27757,11.9865
27757.5,11.768
27758,10.7372
27758.5,9.85713
27759,9.24203
27759.5,8.92528
27760,8.76662
27760.5,8.64017
27761,8.46805
27761.5,8.42807
