time,ProvidenciaExampleScenario.node[5475].veinsmobility.speed
27869,5.5
27869.5,6.75
27870,8
27870.5,8.12825
27871,8.7565
27871.5,8.81758
27872,8.92463
27872.5,9.01678
27873,9.10008
27873.5,9.17916
27874,9.25695
27874.5,9.33437
27875,9.91179
27875.5,10.0364
27876,10.1528
27876.5,10.0178
27877,9.99012
27877.5,9.97246
27878,10.0025
27878.5,10.0917
27879,10.2818
27879.5,10.3439
27880,10.0804
27880.5,9.70788
27881,9.52955
27881.5,9.5061
27882,9.65449
27882.5,9.98952
27883,10.1811
27883.5,10.3312
27884,10.4374
27884.5,10.3545
27885,9.68388
27885.5,8.01323
27886,5.76323
27886.5,3.51323
27887,1.26323
27887.5,0.501539
27888,0
27888.5,0.113308
27889,0.225473
27889.5,0
27890,0
27890.5,0
27891,0
27891.5,0
27892,0
27892.5,0
27893,0
27893.5,0
27894,0
27894.5,0
27895,0
27895.5,0
27896,0
27896.5,0
27897,0
27897.5,0
27898,0
27898.5,0
27899,0
27899.5,0
27900,0
