module,max_speed,min_speed,start_time,stop_time,total_co2,total_dist,total_time,arrived,rcvd_warnings,sent_warnings,mean_speed,std_speed
node[0],15.65,0.0,27000.5,27251.5,574.512,1855.48,250.5,True,17,0,7.38691503992016,6.173162661094357
node[1000],16.4899,0.0,27148.0,27270.0,277.603,990.317,121.5,True,25,0,8.168225771193416,6.246575283753283
node[1001],21.2006,0.0,27148.5,27393.0,519.658,1426.45,244.0,True,40,0,5.818251942008197,5.177093743705164
node[1002],16.25,0.0,27148.5,27624.0,837.95,1865.77,475.0,True,69,0,3.91510363568421,5.249798195508344
node[1003],16.25,0.0,27148.5,27265.0,227.071,620.976,116.0,True,13,0,5.367611260775862,5.400094331842069
node[1004],16.2639,0.0,27148.5,27868.0,1066.25,1750.4,719.0,True,131,0,2.4226138911682895,4.5138290360198345
node[1005],22.1,0.0,27148.5,27504.0,678.335,1414.44,355.0,True,48,0,3.951442142535211,5.731825302760944
node[1006],18.1112,0.0,27149.0,27331.5,364.704,1000.74,182.0,True,0,0,5.500459243131869,6.708907490020599
node[1007],16.3109,-1.0374299999999999,27149.0,27414.5,482.115,1123.51,265.0,True,41,0,4.231315657547169,5.357219719919097
node[1008],15.0563,0.0,27149.0,27288.5,264.38,693.2810000000001,139.0,True,28,0,5.005192367266186,5.465097237931751
node[1009],16.6082,5.05,27149.0,27175.0,84.5499,333.832,25.5,True,6,0,12.638452941176471,3.7030210730366067
node[100],15.7708,0.0,27017.0,27130.5,279.529,1029.62,113.0,True,10,0,9.102157865486726,5.833729881085759
node[1010],18.8542,0.0,27149.0,27427.5,571.869,1357.23,278.0,True,30,0,4.841229469244604,6.0330510601510685
node[1011],15.9026,0.0,27149.5,27235.0,217.601,656.573,85.0,True,3,0,7.774682937058825,4.635235330150127
node[1012],16.25,0.0,27149.5,27484.0,622.246,1566.09,334.0,True,0,0,4.4769394661826345,5.74643739284147
node[1013],14.6419,0.0,27150.0,27424.5,416.67699999999996,628.802,274.0,True,0,0,2.2787700806569346,3.1660700621230484
node[1014],16.25,0.0,27150.0,27233.5,210.03099999999998,657.6519999999999,83.0,True,2,0,7.973458310240964,4.874058857216352
node[1015],18.0931,0.0,27150.0,27268.5,265.231,958.7389999999999,118.0,True,23,0,8.141316101694915,6.502645216575122
