Module,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/2hrs_PER00/nodebug-0.sca_nodebug-0-20170613-01:29:17-17048_SentWarnings
ProvidenciaExampleScenario.node[52].appl,1,1,0
ProvidenciaExampleScenario.node[92].appl,1,2,0
ProvidenciaExampleScenario.node[12].appl,1,2,0
ProvidenciaExampleScenario.node[14].appl,1,0,0
ProvidenciaExampleScenario.node[15].appl,1,0,0
ProvidenciaExampleScenario.node[9].appl,1,1,0
ProvidenciaExampleScenario.node[41].appl,1,0,0
ProvidenciaExampleScenario.node[45].appl,1,0,0
ProvidenciaExampleScenario.node[43].appl,1,0,0
ProvidenciaExampleScenario.node[42].appl,1,0,0
ProvidenciaExampleScenario.node[19].appl,1,5,0
ProvidenciaExampleScenario.node[40].appl,1,6,0
ProvidenciaExampleScenario.node[29].appl,1,6,0
ProvidenciaExampleScenario.node[54].appl,1,0,0
ProvidenciaExampleScenario.node[46].appl,1,3,0
ProvidenciaExampleScenario.node[24].appl,1,0,0
ProvidenciaExampleScenario.node[22].appl,1,0,0
ProvidenciaExampleScenario.node[35].appl,1,0,0
ProvidenciaExampleScenario.node[88].appl,1,0,0
ProvidenciaExampleScenario.node[4].appl,1,0,0
ProvidenciaExampleScenario.node[32].appl,1,0,0
ProvidenciaExampleScenario.node[23].appl,1,0,0
ProvidenciaExampleScenario.node[67].appl,1,0,0
ProvidenciaExampleScenario.node[108].appl,1,1,0
ProvidenciaExampleScenario.node[113].appl,1,1,0
ProvidenciaExampleScenario.node[56].appl,1,0,0
ProvidenciaExampleScenario.node[72].appl,1,0,0
ProvidenciaExampleScenario.node[78].appl,1,0,0
ProvidenciaExampleScenario.node[121].appl,1,0,0
ProvidenciaExampleScenario.node[147].appl,1,0,0
ProvidenciaExampleScenario.node[28].appl,1,2,0
ProvidenciaExampleScenario.node[26].appl,1,9,0
ProvidenciaExampleScenario.node[157].appl,1,0,0
ProvidenciaExampleScenario.node[30].appl,1,8,0
ProvidenciaExampleScenario.node[36].appl,1,0,0
ProvidenciaExampleScenario.node[107].appl,1,0,0
ProvidenciaExampleScenario.node[33].appl,1,7,0
ProvidenciaExampleScenario.node[75].appl,1,2,0
ProvidenciaExampleScenario.node[37].appl,1,6,0
ProvidenciaExampleScenario.node[82].appl,1,2,0
ProvidenciaExampleScenario.node[84].appl,1,2,0
ProvidenciaExampleScenario.node[68].appl,1,3,0
ProvidenciaExampleScenario.node[94].appl,1,4,0
ProvidenciaExampleScenario.node[87].appl,1,8,0
ProvidenciaExampleScenario.node[120].appl,1,0,0
ProvidenciaExampleScenario.node[122].appl,1,2,0
ProvidenciaExampleScenario.node[116].appl,1,3,0
ProvidenciaExampleScenario.node[174].appl,1,0,0
ProvidenciaExampleScenario.node[110].appl,1,0,0
ProvidenciaExampleScenario.node[59].appl,1,10,0
ProvidenciaExampleScenario.node[5].appl,1,12,0
ProvidenciaExampleScenario.node[181].appl,1,0,0
