time,ProvidenciaExampleScenario.manager.vehiclesinsim
0,0
27060,192
27120,319
27180,394
27240,472
27300,474
27360,525
27420,512
27480,553
27540,514
27600,579
27660,558
27720,567
27780,537
27840,592
27900,567
27960,640
28020,639
28080,658
28140,641
28200,687
28260,672
28320,723
28380,742
28440,792
28500,828
28560,849
28620,871
28680,949
28740,992
28800,1012
28860,1072
28920,1124
28980,1117
29040,1174
29100,1159
29160,1228
29220,1205
29280,1239
29340,1212
29400,1263
29460,1238
29520,1309
29580,1286
29640,1345
29700,1336
29760,1353
29820,1364
29880,1404
29940,1378
30000,1443
30060,1418
30120,1447
30180,1457
30240,1507
30300,1547
30360,1631
30420,1633
30480,1700
30540,1721
30600,1790
30660,1809
30720,1902
30780,1925
30840,2012
30900,2043
30960,2136
31020,2195
31080,2281
31140,2307
31200,2393
31260,2444
31320,2536
31380,2569
31440,2637
31500,2661
31560,2726
31620,2757
31680,2811
31740,2831
31800,2896
31860,2920
31920,2962
31980,2984
32040,3034
32100,3034
32160,3075
32220,3099
32280,3137
32340,3137
32400,3173
32460,3148
32520,3172
32580,3156
32640,3195
32700,3173
32760,3215
32820,3207
32880,3236
32940,3223
33000,3253
33060,3241
33120,3282
33180,3242
33240,3283
33300,3281
33360,3315
33420,3290
33480,3317
33540,3297
33600,3302
33660,3301
33720,3307
33780,3298
33840,3302
33900,3303
33960,3311
34020,3303
34080,3318
34140,3314
34200,3336
