Module,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/20Demand_PER00/nodebug-0.sca_nodebug-0-20170616-12:29:20-3796_SentWarnings
ProvidenciaExampleScenario.node[11].appl,1,0,0
ProvidenciaExampleScenario.node[15].appl,1,0,0
ProvidenciaExampleScenario.node[0].appl,1,0,0
ProvidenciaExampleScenario.node[8].appl,1,0,0
ProvidenciaExampleScenario.node[14].appl,1,0,0
ProvidenciaExampleScenario.node[13].appl,1,0,0
ProvidenciaExampleScenario.node[9].appl,1,0,0
ProvidenciaExampleScenario.node[20].appl,1,0,0
ProvidenciaExampleScenario.node[16].appl,1,0,0
ProvidenciaExampleScenario.node[23].appl,1,0,0
ProvidenciaExampleScenario.node[5].appl,1,0,0
ProvidenciaExampleScenario.node[17].appl,1,0,0
ProvidenciaExampleScenario.node[41].appl,1,1,0
ProvidenciaExampleScenario.node[12].appl,1,1,0
ProvidenciaExampleScenario.node[50].appl,1,0,0
ProvidenciaExampleScenario.node[52].appl,1,0,0
ProvidenciaExampleScenario.node[112].appl,1,2,0
ProvidenciaExampleScenario.node[33].appl,1,0,0
ProvidenciaExampleScenario.node[47].appl,1,8,0
ProvidenciaExampleScenario.node[70].appl,1,0,0
ProvidenciaExampleScenario.node[134].appl,1,2,0
ProvidenciaExampleScenario.node[4].appl,1,8,0
ProvidenciaExampleScenario.node[45].appl,1,9,0
ProvidenciaExampleScenario.node[31].appl,1,9,0
ProvidenciaExampleScenario.node[37].appl,1,9,0
ProvidenciaExampleScenario.node[28].appl,1,0,0
ProvidenciaExampleScenario.node[21].appl,1,6,0
ProvidenciaExampleScenario.node[22].appl,1,2,0
ProvidenciaExampleScenario.node[74].appl,1,0,0
ProvidenciaExampleScenario.node[96].appl,1,4,0
ProvidenciaExampleScenario.node[48].appl,1,0,0
ProvidenciaExampleScenario.node[78].appl,1,9,0
ProvidenciaExampleScenario.node[30].appl,1,6,0
ProvidenciaExampleScenario.node[26].appl,1,0,0
ProvidenciaExampleScenario.node[3].appl,1,0,0
ProvidenciaExampleScenario.node[27].appl,1,13,0
ProvidenciaExampleScenario.node[67].appl,1,0,0
ProvidenciaExampleScenario.node[1].appl,1,0,0
ProvidenciaExampleScenario.node[73].appl,1,0,0
ProvidenciaExampleScenario.node[92].appl,1,3,0
ProvidenciaExampleScenario.node[43].appl,1,0,0
ProvidenciaExampleScenario.node[107].appl,1,0,0
ProvidenciaExampleScenario.node[66].appl,1,13,0
ProvidenciaExampleScenario.node[35].appl,1,15,0
ProvidenciaExampleScenario.node[49].appl,1,15,0
ProvidenciaExampleScenario.node[2].appl,1,8,0
