Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_ArrivedAtDest,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_RcvdWarnings,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_SentWarnings
ProvidenciaExampleScenario.node[0].appl,1,0,0
ProvidenciaExampleScenario.node[1].appl,1,0,0
ProvidenciaExampleScenario.node[2].appl,1,0,0
ProvidenciaExampleScenario.node[3].appl,1,0,0
ProvidenciaExampleScenario.node[4].appl,1,0,0
ProvidenciaExampleScenario.node[5].appl,1,0,0
ProvidenciaExampleScenario.node[6].appl,1,0,0
ProvidenciaExampleScenario.node[7].appl,1,0,0
ProvidenciaExampleScenario.node[8].appl,1,0,0
ProvidenciaExampleScenario.node[9].appl,1,0,0
ProvidenciaExampleScenario.node[10].appl,1,0,0
ProvidenciaExampleScenario.node[11].appl,1,0,0
ProvidenciaExampleScenario.node[12].appl,1,0,0
ProvidenciaExampleScenario.node[13].appl,1,0,0
ProvidenciaExampleScenario.node[14].appl,1,0,0
ProvidenciaExampleScenario.node[15].appl,1,0,0
ProvidenciaExampleScenario.node[16].appl,1,0,0
ProvidenciaExampleScenario.node[17].appl,1,0,0
ProvidenciaExampleScenario.node[18].appl,1,0,0
ProvidenciaExampleScenario.node[19].appl,1,0,0
ProvidenciaExampleScenario.node[20].appl,1,0,0
ProvidenciaExampleScenario.node[21].appl,1,0,0
ProvidenciaExampleScenario.node[22].appl,1,0,0
ProvidenciaExampleScenario.node[23].appl,1,0,0
ProvidenciaExampleScenario.node[24].appl,1,0,0
ProvidenciaExampleScenario.node[25].appl,1,0,0
ProvidenciaExampleScenario.node[26].appl,1,0,0
ProvidenciaExampleScenario.node[27].appl,1,0,0
ProvidenciaExampleScenario.node[28].appl,1,0,0
ProvidenciaExampleScenario.node[29].appl,1,0,0
ProvidenciaExampleScenario.node[30].appl,1,0,0
ProvidenciaExampleScenario.node[31].appl,1,0,0
ProvidenciaExampleScenario.node[32].appl,1,0,0
ProvidenciaExampleScenario.node[33].appl,1,0,0
ProvidenciaExampleScenario.node[34].appl,1,0,0
ProvidenciaExampleScenario.node[35].appl,1,0,0
ProvidenciaExampleScenario.node[36].appl,1,0,0
ProvidenciaExampleScenario.node[37].appl,1,0,0
ProvidenciaExampleScenario.node[38].appl,1,0,0
ProvidenciaExampleScenario.node[39].appl,1,0,0
ProvidenciaExampleScenario.node[40].appl,1,0,0
ProvidenciaExampleScenario.node[41].appl,1,0,0
ProvidenciaExampleScenario.node[42].appl,1,0,0
ProvidenciaExampleScenario.node[43].appl,1,0,0
ProvidenciaExampleScenario.node[44].appl,1,0,0
ProvidenciaExampleScenario.node[45].appl,1,0,0
ProvidenciaExampleScenario.node[46].appl,1,0,0
ProvidenciaExampleScenario.node[47].appl,1,0,0
ProvidenciaExampleScenario.node[48].appl,1,0,0
ProvidenciaExampleScenario.node[49].appl,1,0,0
ProvidenciaExampleScenario.node[50].appl,1,0,0
ProvidenciaExampleScenario.node[51].appl,1,0,0
ProvidenciaExampleScenario.node[52].appl,1,0,0
ProvidenciaExampleScenario.node[53].appl,1,0,0
ProvidenciaExampleScenario.node[54].appl,1,0,0
ProvidenciaExampleScenario.node[55].appl,1,0,0
ProvidenciaExampleScenario.node[56].appl,1,0,0
ProvidenciaExampleScenario.node[57].appl,1,0,0
ProvidenciaExampleScenario.node[58].appl,1,0,0
ProvidenciaExampleScenario.node[59].appl,1,0,0
ProvidenciaExampleScenario.node[60].appl,1,0,0
ProvidenciaExampleScenario.node[61].appl,1,0,0
ProvidenciaExampleScenario.node[62].appl,1,0,0
ProvidenciaExampleScenario.node[63].appl,1,0,0
ProvidenciaExampleScenario.node[64].appl,1,0,0
ProvidenciaExampleScenario.node[65].appl,1,0,0
ProvidenciaExampleScenario.node[66].appl,1,0,0
ProvidenciaExampleScenario.node[67].appl,1,0,0
ProvidenciaExampleScenario.node[68].appl,1,0,0
ProvidenciaExampleScenario.node[69].appl,1,0,0
ProvidenciaExampleScenario.node[70].appl,1,0,0
ProvidenciaExampleScenario.node[71].appl,1,0,0
ProvidenciaExampleScenario.node[72].appl,1,0,0
ProvidenciaExampleScenario.node[73].appl,1,0,0
ProvidenciaExampleScenario.node[74].appl,1,0,0
ProvidenciaExampleScenario.node[75].appl,1,0,0
ProvidenciaExampleScenario.node[76].appl,1,0,0
ProvidenciaExampleScenario.node[77].appl,1,0,0
ProvidenciaExampleScenario.node[78].appl,1,0,0
ProvidenciaExampleScenario.node[79].appl,1,0,0
ProvidenciaExampleScenario.node[80].appl,1,0,0
ProvidenciaExampleScenario.node[81].appl,1,0,0
ProvidenciaExampleScenario.node[82].appl,1,0,0
ProvidenciaExampleScenario.node[83].appl,1,0,0
ProvidenciaExampleScenario.node[84].appl,1,0,0
ProvidenciaExampleScenario.node[85].appl,1,0,0
ProvidenciaExampleScenario.node[86].appl,1,0,0
ProvidenciaExampleScenario.node[87].appl,1,0,0
ProvidenciaExampleScenario.node[88].appl,1,0,0
ProvidenciaExampleScenario.node[89].appl,1,0,0
ProvidenciaExampleScenario.node[90].appl,1,0,0
ProvidenciaExampleScenario.node[91].appl,1,0,0
ProvidenciaExampleScenario.node[92].appl,1,0,0
ProvidenciaExampleScenario.node[93].appl,1,0,0
