Module,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_maxSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_minSpeed,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_startTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_stopTime,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalCO2Emission,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalDistance,/veins-4.4/examples/pveins_providencia/results/CasoBase_NoAccidente/nodebug-0.sca_nodebug-0-20170526-23:19:29-7232_totalTime
ProvidenciaExampleScenario.node[0].veinsmobility,15.65,0,27000.5,27251.5,578.642,1855.49,250.5
ProvidenciaExampleScenario.node[1].veinsmobility,16.25,6.9,27000.5,27053,192.119,692.991,52
ProvidenciaExampleScenario.node[2].veinsmobility,18.2947,0,27001,27132,379.948,1354.97,130.5
ProvidenciaExampleScenario.node[3].veinsmobility,16.25,0,27001,27101.5,287.445,1082.45,100
ProvidenciaExampleScenario.node[4].veinsmobility,19.75,0,27001.5,27130,362.878,1000.6,128
ProvidenciaExampleScenario.node[5].veinsmobility,15.65,6.9,27001.5,27023,75.7298,278.925,21
ProvidenciaExampleScenario.node[6].veinsmobility,20.1022,0,27001.5,27106,300.339,1005.39,104
ProvidenciaExampleScenario.node[7].veinsmobility,19.4,0,27001.5,27126.5,317.233,978.496,124.5
ProvidenciaExampleScenario.node[8].veinsmobility,16.25,0,27002,27087,208.955,659.902,84.5
ProvidenciaExampleScenario.node[9].veinsmobility,15.65,0,27002,27125,261.274,1035.65,122.5
ProvidenciaExampleScenario.node[10].veinsmobility,18.5234,0,27002,27130,283.149,993.168,127.5
ProvidenciaExampleScenario.node[11].veinsmobility,18.5,0,27002,27143,352.673,1063.84,140.5
ProvidenciaExampleScenario.node[12].veinsmobility,18.1204,0,27002,27086,243.262,857.104,83.5
ProvidenciaExampleScenario.node[13].veinsmobility,16.25,0,27002.5,27073,188.334,491.692,70
ProvidenciaExampleScenario.node[14].veinsmobility,15.65,0,27002.5,27154,302.195,921.324,151
ProvidenciaExampleScenario.node[15].veinsmobility,17.5,6.9,27002.5,27053.5,197.747,693.725,50.5
ProvidenciaExampleScenario.node[16].veinsmobility,19.1421,0,27002.5,27090.5,254.575,867.898,87.5
ProvidenciaExampleScenario.node[17].veinsmobility,15.0959,0,27002.5,27038.5,104.863,292.726,35.5
ProvidenciaExampleScenario.node[18].veinsmobility,19.2778,6.9,27003,27050.5,183.524,776.155,47
ProvidenciaExampleScenario.node[19].veinsmobility,18.5415,0,27003.5,27130.5,315.856,1008.09,126.5
ProvidenciaExampleScenario.node[20].veinsmobility,16.25,0,27003.5,27390,833.748,2669.89,386
ProvidenciaExampleScenario.node[21].veinsmobility,18.8958,6.9,27003.5,27051.5,174.443,770.295,47.5
ProvidenciaExampleScenario.node[22].veinsmobility,16.25,6.9,27004,27025,80.8999,275.17,20.5
ProvidenciaExampleScenario.node[23].veinsmobility,19.25,6.9,27004,27052.5,180.904,788.326,48
ProvidenciaExampleScenario.node[24].veinsmobility,20,0,27004.5,27153,441.895,1405.18,148
ProvidenciaExampleScenario.node[25].veinsmobility,17.8963,0,27005,27168,419.255,1314.98,162.5
ProvidenciaExampleScenario.node[26].veinsmobility,16.9,0,27005.5,27175.5,366.291,1128.73,169.5
ProvidenciaExampleScenario.node[27].veinsmobility,15.65,0,27005.5,27139.5,251.861,620.585,133.5
ProvidenciaExampleScenario.node[28].veinsmobility,19.25,0,27005.5,27126.5,350.121,1113.52,120.5
ProvidenciaExampleScenario.node[29].veinsmobility,17.7774,0,27006,27133,302.595,991.646,126.5
ProvidenciaExampleScenario.node[30].veinsmobility,16,0,27006,27559.5,1003.18,2680.74,553
ProvidenciaExampleScenario.node[31].veinsmobility,15.65,0,27006,27258.5,580.922,1861.63,252
ProvidenciaExampleScenario.node[32].veinsmobility,16.4291,-2.66665,27006,27372.5,709.977,1787.66,366
ProvidenciaExampleScenario.node[33].veinsmobility,18.5138,0,27006.5,27166,399.924,1416.54,159
